,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-16,65.5923841301337,-28.482092040101776,142.24292923157364,65.5923841301337,65.5923841301337,-5.865511429697004,-5.865511429697004,-5.865511429697004,-5.865511429697004,-5.865511429697004,-5.865511429697004,0.0,0.0,0.0,59.726872700436694
1,2020-03-17,67.3878411007947,-26.3281455609737,148.25990980924112,67.3878411007947,67.3878411007947,-2.3886757936612573,-2.3886757936612573,-2.3886757936612573,-2.3886757936612573,-2.3886757936612573,-2.3886757936612573,0.0,0.0,0.0,64.99916530713344
2,2020-03-18,69.18329807145571,-20.854005917258963,146.1154666663815,69.18329807145571,69.18329807145571,-3.4960425671410564,-3.4960425671410564,-3.4960425671410564,-3.4960425671410564,-3.4960425671410564,-3.4960425671410564,0.0,0.0,0.0,65.68725550431465
3,2020-03-19,70.97875504211672,-23.733908109660085,154.96510544343806,70.97875504211672,70.97875504211672,-3.8448379769092544,-3.8448379769092544,-3.8448379769092544,-3.8448379769092544,-3.8448379769092544,-3.8448379769092544,0.0,0.0,0.0,67.13391706520746
4,2020-03-20,72.77421201277772,-21.760976092919172,152.7713056986091,72.77421201277772,72.77421201277772,-7.760561843359966,-7.760561843359966,-7.760561843359966,-7.760561843359966,-7.760561843359966,-7.760561843359966,0.0,0.0,0.0,65.01365016941776
5,2020-03-23,78.16058292476075,-12.872962194727428,158.2444283315777,78.16058292476075,78.16058292476075,-5.865511429690019,-5.865511429690019,-5.865511429690019,-5.865511429690019,-5.865511429690019,-5.865511429690019,0.0,0.0,0.0,72.29507149507073
6,2020-03-24,79.95603989542175,-7.154779376021581,160.75522509237956,79.95603989542175,79.95603989542175,-2.388675793641436,-2.388675793641436,-2.388675793641436,-2.388675793641436,-2.388675793641436,-2.388675793641436,0.0,0.0,0.0,77.56736410178031
7,2020-03-25,81.75149686608275,-14.658463164371058,163.4147216993042,81.75149686608275,81.75149686608275,-3.4960425671361337,-3.4960425671361337,-3.4960425671361337,-3.4960425671361337,-3.4960425671361337,-3.4960425671361337,0.0,0.0,0.0,78.25545429894662
8,2020-03-26,83.54695383674377,-18.032670673875703,164.05020076355567,83.54695383674377,83.54695383674377,-3.8448379769257714,-3.8448379769257714,-3.8448379769257714,-3.8448379769257714,-3.8448379769257714,-3.8448379769257714,0.0,0.0,0.0,79.702115859818
9,2020-03-27,85.34241079567678,-8.99309061022635,161.81625873573165,85.34241079567678,85.34241079567678,-7.760561843346883,-7.760561843346883,-7.760561843346883,-7.760561843346883,-7.760561843346883,-7.760561843346883,0.0,0.0,0.0,77.5818489523299
10,2020-03-30,90.72878167247585,-2.985344340903896,176.00578505985052,90.72878167247585,90.72878167247585,-5.865511429722856,-5.865511429722856,-5.865511429722856,-5.865511429722856,-5.865511429722856,-5.865511429722856,0.0,0.0,0.0,84.86327024275299
11,2020-03-31,92.52423863140886,-0.9331506891429311,178.23877556878904,92.52423863140886,92.52423863140886,-2.388675793673501,-2.388675793673501,-2.388675793673501,-2.388675793673501,-2.388675793673501,-2.388675793673501,0.0,0.0,0.0,90.13556283773536
12,2020-04-01,94.3196955903419,5.153725818996493,183.32745864557774,94.3196955903419,94.3196955903419,-3.496042567137327,-3.496042567137327,-3.496042567137327,-3.496042567137327,-3.496042567137327,-3.496042567137327,0.0,0.0,0.0,90.82365302320457
